Question,Correct Answer,Name,Category,Type
"Today, Thomas went to the market. Between what times could they have gone?
We know that:
Thomas woke up at 6am.
Andrew saw Thomas sitting on a rooftop from 6am to 7am.
Elizabeth saw Thomas taking photos near the Leaning Tower of Pisa from 9am to 10am.
Samantha saw Thomas waiting at the airport from 10am to 12pm.
Michael saw Thomas buying clothes at the mall from 12pm to 6pm.
Sarah saw Thomas walking towards the Statue of Liberty from 6pm to 7pm.
The market was closed after 7pm.
Between what times could Thomas have gone to the market?
Options:
(A) 12pm to 6pm
(B) 7am to 9am
(C) 6pm to 7pm
(D) 10am to 12pm",B,BigBench_hard,temporal_sequences,Logical
"Today, William went to the coffee shop. Between what times could they have gone?
We know that:
William woke up at 7am.
Lisa saw William sitting on a rooftop from 9am to 11am.
Elizabeth saw William buying a bike at the bike shop from 11am to 1pm.
Richard saw William working at the office from 1pm to 6pm.
Andrew saw William waiting at the train station from 6pm to 10pm.
The coffee shop was closed after 10pm.
Between what times could William have gone to the coffee shop?
Options:
(A) 11am to 1pm
(B) 1pm to 6pm
(C) 6pm to 10pm
(D) 7am to 9am",D,BigBench_hard,temporal_sequences,Logical
"Today, Richard went to the basketball court. Between what times could they have gone?
We know that:
Richard woke up at 5am.
Elizabeth saw Richard taking photos near the Leaning Tower of Pisa from 5am to 7am.
Lisa saw Richard fixing their computer at the electronic store from 3pm to 7pm.
Leslie saw Richard reading at the library from 7pm to 8pm.
The basketball court was closed after 8pm.
Between what times could Richard have gone to the basketball court?
Options:
(A) 3pm to 7pm
(B) 5am to 7am
(C) 7pm to 8pm
(D) 7am to 3pm",D,BigBench_hard,temporal_sequences,Logical
"Today, Jennifer went to the swimming pool. Between what times could they have gone?
We know that:
Jennifer woke up at 5am.
Richard saw Jennifer working at the office from 5am to 8am.
Samantha saw Jennifer reading at the library from 12pm to 1pm.
Betty saw Jennifer buying a bike at the bike shop from 1pm to 2pm.
Sarah saw Jennifer buying a phone at the electronics store from 2pm to 9pm.
Thomas saw Jennifer walking towards the Statue of Liberty from 9pm to 10pm.
The swimming pool was closed after 10pm.
Between what times could Jennifer have gone to the swimming pool?
Options:
(A) 8am to 12pm
(B) 9pm to 10pm
(C) 2pm to 9pm
(D) 12pm to 1pm",A,BigBench_hard,temporal_sequences,Logical
"Today, Samantha went to the swimming pool. Between what times could they have gone?
We know that:
Samantha woke up at 5am.
Thomas saw Samantha walking in the garden from 5am to 8am.
David saw Samantha stretching at a yoga studio from 9am to 10am.
Nancy saw Samantha buying a bike at the bike shop from 10am to 11am.
Betty saw Samantha working out at the gym from 11am to 3pm.
John saw Samantha buying cookies at a bakery from 3pm to 5pm.
The swimming pool was closed after 5pm.
Between what times could Samantha have gone to the swimming pool?
Options:
(A) 8am to 9am
(B) 5am to 8am
(C) 9am to 10am
(D) 11am to 3pm",A,BigBench_hard,temporal_sequences,Logical
"Today, William went to the gas station. Between what times could they have gone?
We know that:
William woke up at 5am.
Sarah saw William buying a phone at the electronics store from 7am to 11am.
Thomas saw William working out at the gym from 11am to 12pm.
Steven saw William waiting at the airport from 12pm to 2pm.
James saw William walking towards the Statue of Liberty from 2pm to 8pm.
The gas station was closed after 8pm.
Between what times could William have gone to the gas station?
Options:
(A) 5am to 7am
(B) 11am to 12pm
(C) 12pm to 2pm
(D) 7am to 11am",A,BigBench_hard,temporal_sequences,Logical
"Today, Sarah went to the dance studio. Between what times could they have gone?
We know that:
Sarah woke up at 5am.
Susan saw Sarah buying a phone at the electronics store from 5am to 7am.
Emily saw Sarah playing tennis at the tennis court from 7am to 11am.
Thomas saw Sarah sitting on a rooftop from 1pm to 6pm.
The dance studio was closed after 6pm.
Between what times could Sarah have gone to the dance studio?
Options:
(A) 1pm to 6pm
(B) 7am to 11am
(C) 5am to 7am
(D) 11am to 1pm",D,BigBench_hard,temporal_sequences,Logical
"Today, Sean went to the orchestra hall. Between what times could they have gone?
We know that:
Sean woke up at 5am.
Sarah saw Sean fixing their computer at the electronic store from 5am to 6am.
Ashley saw Sean buying clothes at the mall from 6am to 7am.
Jessica saw Sean sitting on a rooftop from 7am to 9am.
Steven saw Sean walking towards the Statue of Liberty from 5pm to 8pm.
Michael saw Sean reading at the library from 8pm to 9pm.
The orchestra hall was closed after 9pm.
Between what times could Sean have gone to the orchestra hall?
Options:
(A) 9am to 5pm
(B) 5am to 6am
(C) 6am to 7am
(D) 8pm to 9pm",A,BigBench_hard,temporal_sequences,Logical
"Today, Ashley went to the basketball court. Between what times could they have gone?
We know that:
Ashley woke up at 11am.
David saw Ashley buying a bike at the bike shop from 11am to 12pm.
William saw Ashley sitting on a rooftop from 12pm to 3pm.
Elizabeth saw Ashley working at the office from 3pm to 5pm.
The basketball court was closed after 8pm.
Between what times could Ashley have gone to the basketball court?
Options:
(A) 3pm to 5pm
(B) 12pm to 3pm
(C) 5pm to 8pm
(D) 11am to 12pm",C,BigBench_hard,temporal_sequences,Logical
"Today, Andrew went to the art studio. Between what times could they have gone?
We know that:
Andrew woke up at 8am.
Richard saw Andrew buying a phone at the electronics store from 8am to 10am.
Samantha saw Andrew fixing their computer at the electronic store from 10am to 2pm.
Michael saw Andrew reading at the library from 3pm to 4pm.
Sarah saw Andrew buying lunch at the deli from 4pm to 6pm.
The art studio was closed after 6pm.
Between what times could Andrew have gone to the art studio?
Options:
(A) 8am to 10am
(B) 2pm to 3pm
(C) 4pm to 6pm
(D) 3pm to 4pm",B,BigBench_hard,temporal_sequences,Logical
"Today, Nancy went to the movies. Between what times could they have gone?
We know that:
Nancy woke up at 8am.
Richard saw Nancy fixing their computer at the electronic store from 8am to 12pm.
Mark saw Nancy stretching at a yoga studio from 12pm to 2pm.
Nancy saw Nancy working out at the gym from 2pm to 5pm.
William saw Nancy getting a coffee at the cafe from 5pm to 6pm.
Steven saw Nancy walking in the garden from 7pm to 9pm.
The movies was closed after 9pm.
Between what times could Nancy have gone to the movies?
Options:
(A) 6pm to 7pm
(B) 2pm to 5pm
(C) 5pm to 6pm
(D) 7pm to 9pm",A,BigBench_hard,temporal_sequences,Logical
"Today, Ashley went to the bookstore. Between what times could they have gone?
We know that:
Ashley woke up at 5am.
Jason saw Ashley buying lunch at the deli from 11am to 1pm.
Emily saw Ashley driving to the water park from 1pm to 3pm.
Kimberly saw Ashley stretching at a yoga studio from 3pm to 6pm.
The bookstore was closed after 6pm.
Between what times could Ashley have gone to the bookstore?
Options:
(A) 1pm to 3pm
(B) 11am to 1pm
(C) 3pm to 6pm
(D) 5am to 11am",D,BigBench_hard,temporal_sequences,Logical
"Today, Mary went to the restaurant. Between what times could they have gone?
We know that:
Mary woke up at 9am.
David saw Mary walking in the garden from 9am to 11am.
Samantha saw Mary getting a coffee at the cafe from 2pm to 3pm.
Sarah saw Mary driving to the water park from 3pm to 7pm.
The restaurant was closed after 7pm.
Between what times could Mary have gone to the restaurant?
Options:
(A) 3pm to 7pm
(B) 9am to 11am
(C) 2pm to 3pm
(D) 11am to 2pm",D,BigBench_hard,temporal_sequences,Logical
"Today, William went to the coffee shop. Between what times could they have gone?
We know that:
William woke up at 6am.
Susan saw William reading at the library from 6am to 9am.
Linda saw William waiting at the airport from 9am to 3pm.
Mark saw William playing tennis at the tennis court from 4pm to 6pm.
Samantha saw William working at the office from 6pm to 9pm.
Ashley saw William working out at the gym from 9pm to 10pm.
The coffee shop was closed after 10pm.
Between what times could William have gone to the coffee shop?
Options:
(A) 3pm to 4pm
(B) 4pm to 6pm
(C) 6pm to 9pm
(D) 9am to 3pm",A,BigBench_hard,temporal_sequences,Logical
"Today, Betty went to the bakery. Between what times could they have gone?
We know that:
Betty woke up at 5am.
Jessica saw Betty driving to the water park from 5am to 1pm.
Susan saw Betty stretching at a yoga studio from 1pm to 4pm.
Leslie saw Betty buying a phone at the electronics store from 4pm to 9pm.
The bakery was closed after 10pm.
Between what times could Betty have gone to the bakery?
Options:
(A) 5am to 1pm
(B) 4pm to 9pm
(C) 1pm to 4pm
(D) 9pm to 10pm",D,BigBench_hard,temporal_sequences,Logical
"Today, Jessica went to the restaurant. Between what times could they have gone?
We know that:
Jessica woke up at 3pm.
Mary saw Jessica driving to the water park from 3pm to 4pm.
Lisa saw Jessica walking towards the Statue of Liberty from 4pm to 5pm.
Leslie saw Jessica taking photos near the Leaning Tower of Pisa from 7pm to 10pm.
The restaurant was closed after 10pm.
Between what times could Jessica have gone to the restaurant?
Options:
(A) 7pm to 10pm
(B) 4pm to 5pm
(C) 3pm to 4pm
(D) 5pm to 7pm",D,BigBench_hard,temporal_sequences,Logical
"Today, Emily went to the construction site. Between what times could they have gone?
We know that:
Emily woke up at 8am.
Emily saw Emily taking photos near the Eiffel Tower from 9am to 10am.
Andrew saw Emily buying clothes at the mall from 10am to 11am.
Leslie saw Emily sitting on a rooftop from 11am to 1pm.
Linda saw Emily working at the office from 1pm to 4pm.
William saw Emily buying a bike at the bike shop from 4pm to 10pm.
The construction site was closed after 10pm.
Between what times could Emily have gone to the construction site?
Options:
(A) 10am to 11am
(B) 9am to 10am
(C) 8am to 9am
(D) 4pm to 10pm",C,BigBench_hard,temporal_sequences,Logical
"Today, Sarah went to the clothing store. Between what times could they have gone?
We know that:
Sarah woke up at 9am.
William saw Sarah buying a bike at the bike shop from 9am to 12pm.
Emily saw Sarah waiting at the airport from 12pm to 1pm.
Jennifer saw Sarah taking photos near the Eiffel Tower from 2pm to 5pm.
Jason saw Sarah driving to the water park from 5pm to 6pm.
The clothing store was closed after 6pm.
Between what times could Sarah have gone to the clothing store?
Options:
(A) 1pm to 2pm
(B) 5pm to 6pm
(C) 9am to 12pm
(D) 12pm to 1pm",A,BigBench_hard,temporal_sequences,Logical
"Today, Richard went to the coffee shop. Between what times could they have gone?
We know that:
Richard woke up at 10am.
Jason saw Richard waiting at the train station from 10am to 12pm.
Sean saw Richard walking in the garden from 12pm to 3pm.
David saw Richard fixing their computer at the electronic store from 3pm to 5pm.
The coffee shop was closed after 7pm.
Between what times could Richard have gone to the coffee shop?
Options:
(A) 5pm to 7pm
(B) 3pm to 5pm
(C) 12pm to 3pm
(D) 10am to 12pm",A,BigBench_hard,temporal_sequences,Logical
"Today, Andrew went to the clothing store. Between what times could they have gone?
We know that:
Andrew woke up at 5am.
William saw Andrew playing tennis at the tennis court from 5am to 6am.
Jessica saw Andrew buying lunch at the deli from 6am to 9am.
Tiffany saw Andrew taking photos near the Leaning Tower of Pisa from 9am to 11am.
John saw Andrew waiting at the train station from 11am to 5pm.
Sarah saw Andrew reading at the library from 6pm to 9pm.
The clothing store was closed after 9pm.
Between what times could Andrew have gone to the clothing store?
Options:
(A) 9am to 11am
(B) 6pm to 9pm
(C) 11am to 5pm
(D) 5pm to 6pm",D,BigBench_hard,temporal_sequences,Logical
"Today, Susan went to the museum. Between what times could they have gone?
We know that:
Susan woke up at 9am.
Thomas saw Susan waiting at the airport from 9am to 1pm.
David saw Susan working at the office from 4pm to 5pm.
Elizabeth saw Susan buying cookies at a bakery from 5pm to 6pm.
Kimberly saw Susan sitting on a rooftop from 6pm to 9pm.
The museum was closed after 9pm.
Between what times could Susan have gone to the museum?
Options:
(A) 5pm to 6pm
(B) 6pm to 9pm
(C) 4pm to 5pm
(D) 1pm to 4pm",D,BigBench_hard,temporal_sequences,Logical
"Today, Ashley went to the amusement park. Between what times could they have gone?
We know that:
Ashley woke up at 7am.
Kimberly saw Ashley driving to the water park from 7am to 8am.
Lisa saw Ashley buying clothes at the mall from 8am to 10am.
Hannah saw Ashley taking photos near the Eiffel Tower from 10am to 3pm.
Jessica saw Ashley walking in the garden from 3pm to 4pm.
William saw Ashley getting a coffee at the cafe from 4pm to 7pm.
The amusement park was closed after 9pm.
Between what times could Ashley have gone to the amusement park?
Options:
(A) 7am to 8am
(B) 8am to 10am
(C) 4pm to 7pm
(D) 7pm to 9pm",D,BigBench_hard,temporal_sequences,Logical
"Today, Leslie went to the movies. Between what times could they have gone?
We know that:
Leslie woke up at 6am.
Susan saw Leslie sitting on a rooftop from 6am to 7am.
Mary saw Leslie working at the office from 12pm to 2pm.
Steven saw Leslie getting a coffee at the cafe from 2pm to 7pm.
The movies was closed after 7pm.
Between what times could Leslie have gone to the movies?
Options:
(A) 7am to 12pm
(B) 2pm to 7pm
(C) 12pm to 2pm
(D) 6am to 7am",A,BigBench_hard,temporal_sequences,Logical
"Today, Sarah went to the soccer field. Between what times could they have gone?
We know that:
Sarah woke up at 5am.
Linda saw Sarah taking photos near the Leaning Tower of Pisa from 5am to 6am.
Kimberly saw Sarah playing tennis at the tennis court from 8am to 10am.
Jennifer saw Sarah buying cookies at a bakery from 10am to 7pm.
Michael saw Sarah working at the office from 7pm to 9pm.
The soccer field was closed after 9pm.
Between what times could Sarah have gone to the soccer field?
Options:
(A) 5am to 6am
(B) 6am to 8am
(C) 8am to 10am
(D) 7pm to 9pm",B,BigBench_hard,temporal_sequences,Logical
"Today, Sean went to the basketball court. Between what times could they have gone?
We know that:
Sean woke up at 5am.
James saw Sean watching a movie at the theater from 5am to 6am.
David saw Sean buying cookies at a bakery from 6am to 7am.
Sarah saw Sean working out at the gym from 7am to 9am.
William saw Sean attending class at the school from 11am to 2pm.
Richard saw Sean taking photos near the Leaning Tower of Pisa from 2pm to 4pm.
The basketball court was closed after 4pm.
Between what times could Sean have gone to the basketball court?
Options:
(A) 9am to 11am
(B) 2pm to 4pm
(C) 6am to 7am
(D) 11am to 2pm",A,BigBench_hard,temporal_sequences,Logical
"Today, David went to the construction site. Between what times could they have gone?
We know that:
David woke up at 7am.
Sarah saw David reading at the library from 7am to 8am.
Richard saw David buying a bike at the bike shop from 12pm to 3pm.
James saw David sitting on a rooftop from 3pm to 4pm.
Andrew saw David walking towards the Statue of Liberty from 4pm to 6pm.
Jessica saw David working out at the gym from 6pm to 10pm.
The construction site was closed after 10pm.
Between what times could David have gone to the construction site?
Options:
(A) 8am to 12pm
(B) 6pm to 10pm
(C) 4pm to 6pm
(D) 3pm to 4pm",A,BigBench_hard,temporal_sequences,Logical
"Today, Lisa went to the football field. Between what times could they have gone?
We know that:
Lisa woke up at 6am.
Emily saw Lisa waiting at the airport from 8am to 10am.
David saw Lisa attending class at the school from 10am to 1pm.
Linda saw Lisa fixing their computer at the electronic store from 1pm to 3pm.
Hannah saw Lisa getting a coffee at the cafe from 3pm to 8pm.
William saw Lisa buying clothes at the mall from 8pm to 10pm.
The football field was closed after 10pm.
Between what times could Lisa have gone to the football field?
Options:
(A) 1pm to 3pm
(B) 6am to 8am
(C) 10am to 1pm
(D) 8pm to 10pm",B,BigBench_hard,temporal_sequences,Logical
"Today, Emily went to the basketball court. Between what times could they have gone?
We know that:
Emily woke up at 12pm.
John saw Emily playing tennis at the tennis court from 12pm to 2pm.
Sean saw Emily waiting at the airport from 2pm to 3pm.
Samantha saw Emily buying clothes at the mall from 6pm to 8pm.
Anthony saw Emily taking photos near the Leaning Tower of Pisa from 8pm to 9pm.
Sarah saw Emily working out at the gym from 9pm to 10pm.
The basketball court was closed after 10pm.
Between what times could Emily have gone to the basketball court?
Options:
(A) 3pm to 6pm
(B) 12pm to 2pm
(C) 6pm to 8pm
(D) 2pm to 3pm",A,BigBench_hard,temporal_sequences,Logical
"Today, Ashley went to the beach. Between what times could they have gone?
We know that:
Ashley woke up at 7am.
Elizabeth saw Ashley stretching at a yoga studio from 7am to 8am.
Samantha saw Ashley buying lunch at the deli from 8am to 11am.
Jennifer saw Ashley buying clothes at the mall from 11am to 5pm.
The beach was closed after 6pm.
Between what times could Ashley have gone to the beach?
Options:
(A) 8am to 11am
(B) 11am to 5pm
(C) 5pm to 6pm
(D) 7am to 8am",C,BigBench_hard,temporal_sequences,Logical
"Today, Jennifer went to the amusement park. Between what times could they have gone?
We know that:
Jennifer woke up at 5am.
Lisa saw Jennifer buying a bike at the bike shop from 5am to 10am.
Samantha saw Jennifer taking photos near the Eiffel Tower from 10am to 2pm.
William saw Jennifer waiting at the airport from 2pm to 3pm.
Ashley saw Jennifer buying lunch at the deli from 4pm to 5pm.
Andrew saw Jennifer working at the office from 5pm to 8pm.
The amusement park was closed after 8pm.
Between what times could Jennifer have gone to the amusement park?
Options:
(A) 2pm to 3pm
(B) 5pm to 8pm
(C) 5am to 10am
(D) 3pm to 4pm",D,BigBench_hard,temporal_sequences,Logical
"Today, Leslie went to the movies. Between what times could they have gone?
We know that:
Leslie woke up at 6am.
Thomas saw Leslie walking in the garden from 7am to 9am.
Nancy saw Leslie buying a bike at the bike shop from 9am to 3pm.
Ashley saw Leslie driving to the water park from 3pm to 4pm.
The movies was closed after 4pm.
Between what times could Leslie have gone to the movies?
Options:
(A) 3pm to 4pm
(B) 7am to 9am
(C) 9am to 3pm
(D) 6am to 7am",D,BigBench_hard,temporal_sequences,Logical
"Today, Sean went to the bakery. Between what times could they have gone?
We know that:
Sean woke up at 5am.
James saw Sean attending class at the school from 5am to 6am.
David saw Sean buying lunch at the deli from 6am to 8am.
Betty saw Sean buying clothes at the mall from 8am to 9am.
Linda saw Sean sitting on a rooftop from 9am to 5pm.
Tiffany saw Sean driving to the water park from 8pm to 9pm.
The bakery was closed after 9pm.
Between what times could Sean have gone to the bakery?
Options:
(A) 8pm to 9pm
(B) 5pm to 8pm
(C) 8am to 9am
(D) 9am to 5pm",B,BigBench_hard,temporal_sequences,Logical
"Today, William went to the orchestra hall. Between what times could they have gone?
We know that:
William woke up at 5am.
Thomas saw William working out at the gym from 5am to 10am.
Lisa saw William taking photos near the Leaning Tower of Pisa from 12pm to 4pm.
Mary saw William sitting on a rooftop from 4pm to 7pm.
The orchestra hall was closed after 7pm.
Between what times could William have gone to the orchestra hall?
Options:
(A) 10am to 12pm
(B) 4pm to 7pm
(C) 12pm to 4pm
(D) 5am to 10am",A,BigBench_hard,temporal_sequences,Logical
"Today, Andrew went to the art show. Between what times could they have gone?
We know that:
Andrew woke up at 6am.
Kimberly saw Andrew waiting at the airport from 10am to 12pm.
Anthony saw Andrew attending class at the school from 12pm to 7pm.
John saw Andrew working out at the gym from 7pm to 8pm.
The art show was closed after 8pm.
Between what times could Andrew have gone to the art show?
Options:
(A) 6am to 10am
(B) 7pm to 8pm
(C) 12pm to 7pm
(D) 10am to 12pm",A,BigBench_hard,temporal_sequences,Logical
"Today, Leslie went to the market. Between what times could they have gone?
We know that:
Leslie woke up at 6am.
Anthony saw Leslie getting a coffee at the cafe from 6am to 9am.
Sarah saw Leslie taking photos near the Leaning Tower of Pisa from 9am to 10am.
Jason saw Leslie buying clothes at the mall from 10am to 11am.
Lisa saw Leslie stretching at a yoga studio from 5pm to 6pm.
The market was closed after 6pm.
Between what times could Leslie have gone to the market?
Options:
(A) 6am to 9am
(B) 11am to 5pm
(C) 10am to 11am
(D) 9am to 10am",B,BigBench_hard,temporal_sequences,Logical
"Today, Jessica went to the basketball court. Between what times could they have gone?
We know that:
Jessica woke up at 5am.
Michael saw Jessica buying clothes at the mall from 5am to 6am.
Steven saw Jessica buying a bike at the bike shop from 6am to 7am.
Sean saw Jessica waiting at the train station from 7am to 2pm.
Elizabeth saw Jessica taking photos near the Eiffel Tower from 2pm to 6pm.
Sarah saw Jessica walking towards the Statue of Liberty from 6pm to 9pm.
The basketball court was closed after 10pm.
Between what times could Jessica have gone to the basketball court?
Options:
(A) 6pm to 9pm
(B) 5am to 6am
(C) 9pm to 10pm
(D) 2pm to 6pm",C,BigBench_hard,temporal_sequences,Logical
"Today, William went to the art studio. Between what times could they have gone?
We know that:
William woke up at 6am.
Betty saw William reading at the library from 12pm to 3pm.
Hannah saw William fixing their computer at the electronic store from 3pm to 4pm.
Nancy saw William buying cookies at a bakery from 4pm to 7pm.
Sarah saw William walking towards the Statue of Liberty from 7pm to 8pm.
Michael saw William watching a movie at the theater from 8pm to 10pm.
The art studio was closed after 10pm.
Between what times could William have gone to the art studio?
Options:
(A) 7pm to 8pm
(B) 6am to 12pm
(C) 8pm to 10pm
(D) 12pm to 3pm",B,BigBench_hard,temporal_sequences,Logical
"Today, Kimberly went to the market. Between what times could they have gone?
We know that:
Kimberly woke up at 5am.
Nancy saw Kimberly getting a coffee at the cafe from 5am to 3pm.
Anthony saw Kimberly taking photos near the Leaning Tower of Pisa from 3pm to 5pm.
Andrew saw Kimberly buying a bike at the bike shop from 5pm to 6pm.
Samantha saw Kimberly fixing their computer at the electronic store from 6pm to 7pm.
The market was closed after 9pm.
Between what times could Kimberly have gone to the market?
Options:
(A) 3pm to 5pm
(B) 5pm to 6pm
(C) 7pm to 9pm
(D) 6pm to 7pm",C,BigBench_hard,temporal_sequences,Logical
"Today, Anthony went to the bookstore. Between what times could they have gone?
We know that:
Anthony woke up at 7am.
David saw Anthony working at the office from 7am to 8am.
Leslie saw Anthony getting a coffee at the cafe from 8am to 11am.
Sarah saw Anthony watching a movie at the theater from 1pm to 9pm.
The bookstore was closed after 9pm.
Between what times could Anthony have gone to the bookstore?
Options:
(A) 11am to 1pm
(B) 8am to 11am
(C) 7am to 8am
(D) 1pm to 9pm",A,BigBench_hard,temporal_sequences,Logical
"Today, David went to the coffee shop. Between what times could they have gone?
We know that:
David woke up at 8am.
Elizabeth saw David waiting at the airport from 10am to 1pm.
David saw David playing tennis at the tennis court from 1pm to 2pm.
Jessica saw David working out at the gym from 2pm to 3pm.
Susan saw David waiting at the train station from 3pm to 4pm.
Sean saw David sitting on a rooftop from 4pm to 6pm.
The coffee shop was closed after 6pm.
Between what times could David have gone to the coffee shop?
Options:
(A) 3pm to 4pm
(B) 10am to 1pm
(C) 8am to 10am
(D) 1pm to 2pm",C,BigBench_hard,temporal_sequences,Logical
"Today, Samantha went to the market. Between what times could they have gone?
We know that:
Samantha woke up at 5am.
Sarah saw Samantha working at the office from 5am to 11am.
Ashley saw Samantha buying a phone at the electronics store from 11am to 1pm.
Leslie saw Samantha fixing their computer at the electronic store from 5pm to 8pm.
The market was closed after 8pm.
Between what times could Samantha have gone to the market?
Options:
(A) 5am to 11am
(B) 5pm to 8pm
(C) 11am to 1pm
(D) 1pm to 5pm",D,BigBench_hard,temporal_sequences,Logical
