Name,Category,Question,Correct Answer
MMLU_test,machine_learning,"High entropy means that the partitions in classification are The options are: A) pure, B) not pure, C) useful, D) useless",B
MMLU_test,machine_learning,"Statement 1| Layer Normalization is used in the original ResNet paper, not Batch Normalization. Statement 2| DCGANs use self-attention to stabilize training. The options are: A) True, True, B) False, False, C) True, False, D) False, True",B
MMLU_test,machine_learning,"In building a linear regression model for a particular data set, you observe the coefficient of one of the features having a relatively high negative value. This suggests that The options are: A) This feature has a strong effect on the model (should be retained), B) This feature does not have a strong effect on the model (should be ignored), C) It is not possible to comment on the importance of this feature without additional information, D) Nothing can be determined.",C
MMLU_test,machine_learning,"For a neural network, which one of these structural assumptions is the one that most affects the trade-off between underfitting (i.e. a high bias model) and overfitting (i.e. a high variance model): The options are: A) The number of hidden nodes, B) The learning rate, C) The initial choice of weights, D) The use of a constant-term unit input",A
MMLU_test,machine_learning,"For polynomial regression, which one of these structural assumptions is the one that most affects the trade-off between underfitting and overfitting: The options are: A) The polynomial degree, B) Whether we learn the weights by matrix inversion or gradient descent, C) The assumed variance of the Gaussian noise, D) The use of a constant-term unit input",A
MMLU_test,machine_learning,"Statement 1| As of 2020, some models attain greater than 98% accuracy on CIFAR-10. Statement 2| The original ResNets were not optimized with the Adam optimizer. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"The K-means algorithm: The options are: A) Requires the dimension of the feature space to be no bigger than the number of samples, B) Has the smallest value of the objective function when K = 1, C) Minimizes the within class variance for a given number of clusters, D) Converges to the global optimum if and only if the initial means are chosen as some of the samples themselves",C
MMLU_test,machine_learning,"Statement 1| VGGNets have convolutional kernels of smaller width and height than AlexNet's first-layer kernels. Statement 2| Data-dependent weight initialization procedures were introduced before Batch Normalization. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"What is the rank of the following matrix? A = [[1, 1, 1], [1, 1, 1], [1, 1, 1]] The options are: A) 0, B) 1, C) 2, D) 3",B
MMLU_test,machine_learning,"Statement 1| Density estimation (using say, the kernel density estimator) can be used to perform classification. Statement 2| The correspondence between logistic regression and Gaussian Naive Bayes (with identity class covariances) means that there is a one-to-one correspondence between the parameters of the two classifiers. The options are: A) True, True, B) False, False, C) True, False, D) False, True",C
MMLU_test,machine_learning,"Suppose we would like to perform clustering on spatial data such as the geometrical locations of houses. We wish to produce clusters of many different sizes and shapes. Which of the following methods is the most appropriate? The options are: A) Decision Trees, B) Density-based clustering, C) Model-based clustering, D) K-means clustering",B
MMLU_test,machine_learning,"Statement 1| In AdaBoost weights of the misclassified examples go up by the same multiplicative factor. Statement 2| In AdaBoost, weighted training error e_t of the tth weak classifier on training data with weights D_t tends to increase as a function of t. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"MLE estimates are often undesirable because The options are: A) they are biased, B) they have high variance, C) they are not consistent estimators, D) None of the above",B
MMLU_test,machine_learning,"Computational complexity of Gradient descent is, The options are: A) linear in D, B) linear in N, C) polynomial in D, D) dependent on the number of iterations",C
MMLU_test,machine_learning,"Averaging the output of multiple decision trees helps _. The options are: A) Increase bias, B) Decrease bias, C) Increase variance, D) Decrease variance",D
MMLU_test,machine_learning,"The model obtained by applying linear regression on the identified subset of features may differ from the model obtained at the end of the process of identifying the subset during The options are: A) Best-subset selection, B) Forward stepwise selection, C) Forward stage wise selection, D) All of the above",C
MMLU_test,machine_learning,"Neural networks: The options are: A) Optimize a convex objective function, B) Can only be trained with stochastic gradient descent, C) Can use a mix of different activation functions, D) None of the above",C
MMLU_test,machine_learning,"Say the incidence of a disease D is about 5 cases per 100 people (i.e., P(D) = 0.05). Let Boolean random variable D mean a patient “has disease D” and let Boolean random variable TP stand for ""tests positive."" Tests for disease D are known to be very accurate in the sense that the probability of testing positive when you have the disease is 0.99, and the probability of testing negative when you do not have the disease is 0.97. What is P(TP), the prior probability of testing positive. The options are: A) 0.0368, B) 0.473, C) 0.078, D) None of the above",C
MMLU_test,machine_learning,"Statement 1| After mapped into feature space Q through a radial basis kernel function, 1-NN using unweighted Euclidean distance may be able to achieve better classification performance than in original space (though we can’t guarantee this). Statement 2| The VC dimension of a Perceptron is smaller than the VC dimension of a simple linear SVM. The options are: A) True, True, B) False, False, C) True, False, D) False, True",B
MMLU_test,machine_learning,"The disadvantage of Grid search is The options are: A) It can not be applied to non-differentiable functions., B) It can not be applied to non-continuous functions., C) It is hard to implement., D) It runs reasonably slow for multiple linear regression.",D
MMLU_test,machine_learning,"Predicting the amount of rainfall in a region based on various cues is a ______ problem. The options are: A) Supervised learning, B) Unsupervised learning, C) Clustering, D) None of the above",A
MMLU_test,machine_learning,"Which of the following sentence is FALSE regarding regression? The options are: A) It relates inputs to outputs., B) It is used for prediction., C) It may be used for interpretation., D) It discovers causal relationships",D
MMLU_test,machine_learning,"Which one of the following is the main reason for pruning a Decision Tree? The options are: A) To save computing time during testing, B) To save space for storing the Decision Tree, C) To make the training set error smaller, D) To avoid overfitting the training set",D
MMLU_test,machine_learning,"Statement 1| The kernel density estimator is equivalent to performing kernel regression with the value Yi = 1/n at each point Xi in the original data set. Statement 2| The depth of a learned decision tree can be larger than the number of training examples used to create the tree. The options are: A) True, True, B) False, False, C) True, False, D) False, True",B
MMLU_test,machine_learning,"Suppose your model is overfitting. Which of the following is NOT a valid way to try and reduce the overfitting? The options are: A) Increase the amount of training data., B) Improve the optimisation algorithm being used for error minimisation., C) Decrease the model complexity., D) Reduce the noise in the training data.",B
MMLU_test,machine_learning,"Statement 1| The softmax function is commonly used in mutliclass logistic regression. Statement 2| The temperature of a nonuniform softmax distribution affects its entropy. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"Which of the following is/are true regarding an SVM? The options are: A) For two dimensional data points, the separating hyperplane learnt by a linear SVM will be a straight line., B) In theory, a Gaussian kernel SVM cannot model any complex separating hyperplane., C) For every kernel function used in a SVM, one can obtain an equivalent closed form basis expansion., D) Overfitting in an SVM is not a function of number of support vectors.",A
MMLU_test,machine_learning,"Which of the following is the joint probability of H, U, P, and W described by the given Bayesian Network H -> U <- P <- W? [note: as the product of the conditional probabilities] The options are: A) P(H, U, P, W) = P(H) * P(W) * P(P) * P(U), B) P(H, U, P, W) = P(H) * P(W) * P(P | W) * P(W | H, P), C) P(H, U, P, W) = P(H) * P(W) * P(P | W) * P(U | H, P), D) None of the above",C
MMLU_test,machine_learning,"Statement 1| Since the VC dimension for an SVM with a Radial Base Kernel is infinite, such an SVM must be worse than an SVM with polynomial kernel which has a finite VC dimension. Statement 2| A two layer neural network with linear activation functions is essentially a weighted combination of linear separators, trained on a given dataset; the boosting algorithm built on linear separators also finds a combination of linear separators, therefore these two algorithms will give the same result. The options are: A) True, True, B) False, False, C) True, False, D) False, True",B
MMLU_test,machine_learning,"Statement 1| The ID3 algorithm is guaranteed to find the optimal decision tree. Statement 2| Consider a continuous probability distribution with density f() that is nonzero everywhere. The probability of a value x is equal to f(x). The options are: A) True, True, B) False, False, C) True, False, D) False, True",B
MMLU_test,machine_learning,"Given a Neural Net with N input nodes, no hidden layers, one output node, with Entropy Loss and Sigmoid Activation Functions, which of the following algorithms (with the proper hyper-parameters and initialization) can be used to find the global optimum? The options are: A) Stochastic Gradient Descent, B) Mini-Batch Gradient Descent, C) Batch Gradient Descent, D) All of the above",D
MMLU_test,machine_learning,"Adding more basis functions in a linear model, pick the most probably option: The options are: A) Decreases model bias, B) Decreases estimation bias, C) Decreases variance, D) Doesn’t affect bias and variance",A
MMLU_test,machine_learning,"Consider the Bayesian network given below. How many independent parameters would we need if we made no assumptions about independence or conditional independence H -> U <- P <- W? The options are: A) 3, B) 4, C) 7, D) 15",D
MMLU_test,machine_learning,"Another term for out-of-distribution detection is? The options are: A) anomaly detection, B) one-class detection, C) train-test mismatch robustness, D) background detection",A
MMLU_test,machine_learning,"Statement 1| We learn a classifier f by boosting weak learners h. The functional form of f’s decision boundary is the same as h’s, but with different parameters. (e.g., if h was a linear classifier, then f is also a linear classifier). Statement 2| Cross validation can be used to select the number of iterations in boosting; this procedure may help reduce overfitting. The options are: A) True, True, B) False, False, C) True, False, D) False, True",D
MMLU_test,machine_learning,"Statement 1| Highway networks were introduced after ResNets and eschew max pooling in favor of convolutions. Statement 2| DenseNets usually cost more memory than ResNets. The options are: A) True, True, B) False, False, C) True, False, D) False, True",D
MMLU_test,machine_learning,"If N is the number of instances in the training dataset, nearest neighbors has a classification run time of The options are: A) O(1), B) O( N ), C) O(log N ), D) O( N^2 )",B
MMLU_test,machine_learning,"Statement 1| The original ResNets and Transformers are feedforward neural networks. Statement 2| The original Transformers use self-attention, but the original ResNet does not. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"Statement 1| RELUs are not monotonic, but sigmoids are monotonic. Statement 2| Neural networks trained with gradient descent with high probability converge to the global optimum. The options are: A) True, True, B) False, False, C) True, False, D) False, True",D
MMLU_test,machine_learning,"The numerical output of a sigmoid node in a neural network: The options are: A) Is unbounded, encompassing all real numbers., B) Is unbounded, encompassing all integers., C) Is bounded between 0 and 1., D) Is bounded between -1 and 1.",C
MMLU_test,machine_learning,"Which of the following can only be used when training data are linearly separable? The options are: A) Linear hard-margin SVM., B) Linear Logistic Regression., C) Linear Soft margin SVM., D) The centroid method.",A
MMLU_test,machine_learning,"Which of the following are the spatial clustering algorithms? The options are: A) Partitioning based clustering, B) K-means clustering, C) Grid based clustering, D) All of the above",D
MMLU_test,machine_learning,"Statement 1| The maximum margin decision boundaries that support vector machines construct have the lowest generalization error among all linear classifiers. Statement 2| Any decision boundary that we get from a generative model with classconditional Gaussian distributions could in principle be reproduced with an SVM and a polynomial kernel of degree less than or equal to three. The options are: A) True, True, B) False, False, C) True, False, D) False, True",D
MMLU_test,machine_learning,"Statement 1| L2 regularization of linear models tends to make models more sparse than L1 regularization. Statement 2| Residual connections can be found in ResNets and Transformers. The options are: A) True, True, B) False, False, C) True, False, D) False, True",D
MMLU_test,machine_learning,"Suppose we like to calculate P(H|E, F) and we have no conditional independence information. Which of the following sets of numbers are sufficient for the calculation? The options are: A) P(E, F), P(H), P(E|H), P(F|H), B) P(E, F), P(H), P(E, F|H), C) P(H), P(E|H), P(F|H), D) P(E, F), P(E|H), P(F|H)",B
MMLU_test,machine_learning,"Which among the following prevents overfitting when we perform bagging? The options are: A) The use of sampling with replacement as the sampling technique, B) The use of weak classifiers, C) The use of classification algorithms which are not prone to overfitting, D) The practice of validation performed on every classifier trained",B
MMLU_test,machine_learning,"Statement 1| PCA and Spectral Clustering (such as Andrew Ng’s) perform eigendecomposition on two different matrices. However, the size of these two matrices are the same. Statement 2| Since classification is a special case of regression, logistic regression is a special case of linear regression. The options are: A) True, True, B) False, False, C) True, False, D) False, True",B
MMLU_test,machine_learning,"Statement 1| The Stanford Sentiment Treebank contained movie reviews, not book reviews. Statement 2| The Penn Treebank has been used for language modeling. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"What is the dimensionality of the null space of the following matrix? A = [[3, 2, −9], [−6, −4, 18], [12, 8, −36]] The options are: A) 0, B) 1, C) 2, D) 3",C
MMLU_test,machine_learning,"What are support vectors? The options are: A) The examples farthest from the decision boundary., B) The only examples necessary to compute f(x) in an SVM., C) The data centroid., D) All the examples that have a non-zero weight αk in a SVM.",B
MMLU_test,machine_learning,"Statement 1| Word2Vec parameters were not initialized using a Restricted Boltzman Machine. Statement 2| The tanh function is a nonlinear activation function. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"If your training loss increases with number of epochs, which of the following could be a possible issue with the learning process? The options are: A) Regularization is too low and model is overfitting, B) Regularization is too high and model is underfitting, C) Step size is too large, D) Step size is too small",C
MMLU_test,machine_learning,"Say the incidence of a disease D is about 5 cases per 100 people (i.e., P(D) = 0.05). Let Boolean random variable D mean a patient “has disease D” and let Boolean random variable TP stand for ""tests positive."" Tests for disease D are known to be very accurate in the sense that the probability of testing positive when you have the disease is 0.99, and the probability of testing negative when you do not have the disease is 0.97. What is P(D | TP), the posterior probability that you have disease D when the test is positive? The options are: A) 0.0495, B) 0.078, C) 0.635, D) 0.97",C
MMLU_test,machine_learning,"Statement 1| Traditional machine learning results assume that the train and test sets are independent and identically distributed. Statement 2| In 2017, COCO models were usually pretrained on ImageNet. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"Statement 1| The values of the margins obtained by two different kernels K1(x, x0) and K2(x, x0) on the same training set do not tell us which classifier will perform better on the test set. Statement 2| The activation function of BERT is the GELU. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"Which of the following is a clustering algorithm in machine learning? The options are: A) Expectation Maximization, B) CART, C) Gaussian Naïve Bayes, D) Apriori",A
MMLU_test,machine_learning,"You've just finished training a decision tree for spam classification, and it is getting abnormally bad performance on both your training and test sets. You know that your implementation has no bugs, so what could be causing the problem? The options are: A) Your decision trees are too shallow., B) You need to increase the learning rate., C) You are overfitting., D) None of the above.",A
MMLU_test,machine_learning,"K-fold cross-validation is The options are: A) linear in K, B) quadratic in K, C) cubic in K, D) exponential in K",A
MMLU_test,machine_learning,"Statement 1| Industrial-scale neural networks are normally trained on CPUs, not GPUs. Statement 2| The ResNet-50 model has over 1 billion parameters. The options are: A) True, True, B) False, False, C) True, False, D) False, True",B
MMLU_test,machine_learning,"Given two Boolean random variables, A and B, where P(A) = 1/2, P(B) = 1/3, and P(A | ¬B) = 1/4, what is P(A | B)? The options are: A) 1/6, B) 1/4, C) 3/4, D) 1",D
MMLU_test,machine_learning,"Existential risks posed by AI are most commonly associated with which of the following professors? The options are: A) Nando de Frietas, B) Yann LeCun, C) Stuart Russell, D) Jitendra Malik",C
MMLU_test,machine_learning,"Statement 1| Maximizing the likelihood of logistic regression model yields multiple local optimums. Statement 2| No classifier can do better than a naive Bayes classifier if the distribution of the data is known. The options are: A) True, True, B) False, False, C) True, False, D) False, True",B
MMLU_test,machine_learning,"For Kernel Regression, which one of these structural assumptions is the one that most affects the trade-off between underfitting and overfitting: The options are: A) Whether kernel function is Gaussian versus triangular versus box-shaped, B) Whether we use Euclidian versus L1 versus L∞ metrics, C) The kernel width, D) The maximum height of the kernel function",C
MMLU_test,machine_learning,"Statement 1| The SVM learning algorithm is guaranteed to find the globally optimal hypothesis with respect to its object function. Statement 2| After being mapped into feature space Q through a radial basis kernel function, a Perceptron may be able to achieve better classification performance than in its original space (though we can’t guarantee this). The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"For a Gaussian Bayes classifier, which one of these structural assumptions is the one that most affects the trade-off between underfitting and overfitting: The options are: A) Whether we learn the class centers by Maximum Likelihood or Gradient Descent, B) Whether we assume full class covariance matrices or diagonal class covariance matrices, C) Whether we have equal class priors or priors estimated from the data., D) Whether we allow classes to have different mean vectors or we force them to share the same mean vector",B
MMLU_test,machine_learning,"Statement 1| Overfitting is more likely when the set of training data is small. Statement 2| Overfitting is more likely when the hypothesis space is small. The options are: A) True, True, B) False, False, C) True, False, D) False, True",D
MMLU_test,machine_learning,"Statement 1| Besides EM, gradient descent can be used to perform inference or learning on Gaussian mixture model. Statement 2 | Assuming a fixed number of attributes, a Gaussian-based Bayes optimal classifier can be learned in time linear in the number of records in the dataset. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"Statement 1| In a Bayesian network, the inference results of the junction tree algorithm are the same as the inference results of variable elimination. Statement 2| If two random variable X and Y are conditionally independent given another random variable Z, then in the corresponding Bayesian network, the nodes for X and Y are d-separated given Z. The options are: A) True, True, B) False, False, C) True, False, D) False, True",C
MMLU_test,machine_learning,"Given a large dataset of medical records from patients suffering from heart disease, try to learn whether there might be different clusters of such patients for which we might tailor separate treatments. What kind of learning problem is this? The options are: A) Supervised learning, B) Unsupervised learning, C) Both (a) and (b), D) Neither (a) nor (b)",B
MMLU_test,machine_learning,"What would you do in PCA to get the same projection as SVD? The options are: A) Transform data to zero mean, B) Transform data to zero median, C) Not possible, D) None of these",A
MMLU_test,machine_learning,"Statement 1| The training error of 1-nearest neighbor classifier is 0. Statement 2| As the number of data points grows to infinity, the MAP estimate approaches the MLE estimate for all possible priors. In other words, given enough data, the choice of prior is irrelevant. The options are: A) True, True, B) False, False, C) True, False, D) False, True",C
MMLU_test,machine_learning,"When doing least-squares regression with regularisation (assuming that the optimisation can be done exactly), increasing the value of the regularisation parameter λ the testing error. The options are: A) will never decrease the training error., B) will never increase the training error., C) will never decrease the testing error., D) will never increase",A
MMLU_test,machine_learning,"Which of the following best describes what discriminative approaches try to model? (w are the parameters in the model) The options are: A) p(y|x, w), B) p(y, x), C) p(w|x, w), D) None of the above",A
MMLU_test,machine_learning,"Statement 1| CIFAR-10 classification performance for convolution neural networks can exceed 95%. Statement 2| Ensembles of neural networks do not improve classification accuracy since the representations they learn are highly correlated. The options are: A) True, True, B) False, False, C) True, False, D) False, True",C
MMLU_test,machine_learning,"Which of the following points would Bayesians and frequentists disagree on? The options are: A) The use of a non-Gaussian noise model in probabilistic regression., B) The use of probabilistic modelling for regression., C) The use of prior distributions on the parameters in a probabilistic model., D) The use of class priors in Gaussian Discriminant Analysis.",C
MMLU_test,machine_learning,"Statement 1| The BLEU metric uses precision, while the ROGUE metric uses recall. Statement 2| Hidden markov models were frequently used to model English sentences. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"Statement 1| ImageNet has images of various resolutions. Statement 2| Caltech-101 has more images than ImageNet. The options are: A) True, True, B) False, False, C) True, False, D) False, True",C
MMLU_test,machine_learning,"Which of the following is more appropriate to do feature selection? The options are: A) Ridge, B) Lasso, C) both (a) and (b), D) neither (a) nor (b)",B
MMLU_test,machine_learning,"Suppose you are given an EM algorithm that finds maximum likelihood estimates for a model with latent variables. You are asked to modify the algorithm so that it finds MAP estimates instead. Which step or steps do you need to modify? The options are: A) Expectation, B) Maximization, C) No modification necessary, D) Both",B
MMLU_test,machine_learning,"For a Gaussian Bayes classifier, which one of these structural assumptions is the one that most affects the trade-off between underfitting and overfitting: The options are: A) Whether we learn the class centers by Maximum Likelihood or Gradient Descent, B) Whether we assume full class covariance matrices or diagonal class covariance matrices, C) Whether we have equal class priors or priors estimated from the data, D) Whether we allow classes to have different mean vectors or we force them to share the same mean vector",B
MMLU_test,machine_learning,"Statement 1| For any two variables x and y having joint distribution p(x, y), we always have H[x, y] ≥ H[x] + H[y] where H is entropy function. Statement 2| For some directed graphs, moralization decreases the number of edges present in the graph. The options are: A) True, True, B) False, False, C) True, False, D) False, True",B
MMLU_test,machine_learning,"Which of the following is NOT supervised learning? The options are: A) PCA, B) Decision Tree, C) Linear Regression, D) Naive Bayesian",A
MMLU_test,machine_learning,"Statement 1| A neural network's convergence depends on the learning rate. Statement 2| Dropout multiplies randomly chosen activation values by zero. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"Which one of the following is equal to P(A, B, C) given Boolean random variables A, B and C, and no independence or conditional independence assumptions between any of them? The options are: A) P(A | B) * P(B | C) * P(C | A), B) P(C | A, B) * P(A) * P(B), C) P(A, B | C) * P(C), D) P(A | B, C) * P(B | A, C) * P(C | A, B)",C
MMLU_test,machine_learning,"Which of the following tasks can be best solved using Clustering. The options are: A) Predicting the amount of rainfall based on various cues, B) Detecting fraudulent credit card transactions, C) Training a robot to solve a maze, D) All of the above",B
MMLU_test,machine_learning,"After applying a regularization penalty in linear regression, you find that some of the coefficients of w are zeroed out. Which of the following penalties might have been used? The options are: A) L0 norm, B) L1 norm, C) L2 norm, D) either (a) or (b)",D
MMLU_test,machine_learning,"A and B are two events. If P(A, B) decreases while P(A) increases, which of the following is true? The options are: A) P(A|B) decreases, B) P(B|A) decreases, C) P(B) decreases, D) All of above",B
MMLU_test,machine_learning,"Statement 1| When learning an HMM for a fixed set of observations, assume we do not know the true number of hidden states (which is often the case), we can always increase the training data likelihood by permitting more hidden states. Statement 2| Collaborative filtering is often a useful model for modeling users' movie preference. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"You are training a linear regression model for a simple estimation task, and notice that the model is overfitting to the data. You decide to add in $\ell_2$ regularization to penalize the weights. As you increase the $\ell_2$ regularization coefficient, what will happen to the bias and variance of the model? The options are: A) Bias increase ; Variance increase, B) Bias increase ; Variance decrease, C) Bias decrease ; Variance increase, D) Bias decrease ; Variance decrease",B
MMLU_test,machine_learning,"Which PyTorch 1.8 command(s) produce $10\times 5$ Gaussian matrix with each entry i.i.d. sampled from $\mathcal{N}(\mu=5,\sigma^2=16)$ and a $10\times 10$ uniform matrix with each entry i.i.d. sampled from $U[-1,1)$? The options are: A) \texttt{5 + torch.randn(10,5) * 16} ; \texttt{torch.rand(10,10,low=-1,high=1)}, B) \texttt{5 + torch.randn(10,5) * 16} ; \texttt{(torch.rand(10,10) - 0.5) / 0.5}, C) \texttt{5 + torch.randn(10,5) * 4} ; \texttt{2 * torch.rand(10,10) - 1}, D) \texttt{torch.normal(torch.ones(10,5)*5,torch.ones(5,5)*16)} ; \texttt{2 * torch.rand(10,10) - 1}",C
MMLU_test,machine_learning,"Statement 1| The ReLU's gradient is zero for $x<0$, and the sigmoid gradient $\sigma(x)(1-\sigma(x))\le \frac{1}{4}$ for all $x$. Statement 2| The sigmoid has a continuous gradient and the ReLU has a discontinuous gradient. The options are: A) True, True, B) False, False, C) True, False, D) False, True",A
MMLU_test,machine_learning,"Which is true about Batch Normalization? The options are: A) After applying batch normalization, the layer’s activations will follow a standard Gaussian distribution., B) The bias parameter of affine layers becomes redundant if a batch normalization layer follows immediately afterward., C) The standard weight initialization must be changed when using Batch Normalization., D) Batch Normalization is equivalent to Layer Normalization for convolutional neural networks.",B
MMLU_test,machine_learning,"Suppose we have the following objective function: $\argmin_{w} \frac{1}{2} \norm{Xw-y}^2_2 + \frac{1}{2}\gamma \norm{w}^2_2$ What is the gradient of $\frac{1}{2} \norm{Xw-y}^2_2 + \frac{1}{2}\lambda \norm{w}^2_2$ with respect to $w$? The options are: A) $\nabla_w f(w) = (X^\top X + \lambda I)w - X^\top y + \lambda w$, B) $\nabla_w f(w) = X^\top X w - X^\top y + \lambda$, C) $\nabla_w f(w) = X^\top X w - X^\top y + \lambda w$, D) $\nabla_w f(w) = X^\top X w - X^\top y + (\lambda+1) w$",C
MMLU_test,machine_learning,"Which of the following is true of a convolution kernel? The options are: A) Convolving an image with $\begin{bmatrix}1 & 0 & 0\\ 0 & 1 & 0 \\ 0 & 0 & 1 \end{bmatrix}$ would not change the image, B) Convolving an image with $\begin{bmatrix}0 & 0 & 0\\ 0 & 1 & 0 \\ 0 & 0 & 0 \end{bmatrix}$ would not change the image, C) Convolving an image with $\begin{bmatrix}1 & 1 & 1\\ 1 & 1 & 1 \\ 1 & 1 & 1 \end{bmatrix}$ would not change the image, D) Convolving an image with $\begin{bmatrix}0 & 0 & 0\\ 0 & 0 & 0 \\ 0 & 0 & 0 \end{bmatrix}$ would not change the image",B
MMLU_test,machine_learning,"Which of the following is false? The options are: A) Semantic segmentation models predict the class of each pixel, while multiclass image classifiers predict the class of entire image., B) A bounding box with an IoU (intersection over union) equal to $96\%$ would likely be considered at true positive., C) When a predicted bounding box does not correspond to any object in the scene, it is considered a false positive., D) A bounding box with an IoU (intersection over union) equal to $3\%$ would likely be considered at false negative.",D
MMLU_test,machine_learning,"Which of the following is false? The options are: A) The following fully connected network without activation functions is linear: $g_3(g_2(g_1(x)))$, where $g_i(x) = W_i x$ and $W_i$ are matrices., B) Leaky ReLU $\max\{0.01x,x\}$ is convex., C) A combination of ReLUs such as $ReLU(x) - ReLU(x-1)$ is convex., D) The loss $\log \sigma(x)= -\log(1+e^{-x})$ is concave",C
MMLU_test,machine_learning,"We are training fully connected network with two hidden layers to predict housing prices. Inputs are $100$-dimensional, and have several features such as the number of square feet, the median family income, etc. The first hidden layer has $1000$ activations. The second hidden layer has $10$ activations. The output is a scalar representing the house price. Assuming a vanilla network with affine transformations and with no batch normalization and no learnable parameters in the activation function, how many parameters does this network have? The options are: A) 111021, B) 110010, C) 111110, D) 110011",A
MMLU_test,machine_learning,"Statement 1| The derivative of the sigmoid $\sigma(x)=(1+e^{-x})^{-1}$ with respect to $x$ is equal to $\text{Var}(B)$ where $B\sim \text{Bern}(\sigma(x))$ is a Bernoulli random variable. Statement 2| Setting the bias parameters in each layer of neural network to 0 changes the bias-variance trade-off such that the model's variance increases and the model's bias decreases The options are: A) True, True, B) False, False, C) True, False, D) False, True",C
